command,intent
toggle airplane mode,airplane_mode  
deactivate Bluetooth,bluetooth_off
disable Bluetooth,bluetooth_off
turn off Bluetooth,bluetooth_off
activate Bluetooth,bluetooth_on
enable Bluetooth,bluetooth_on
turn on Bluetooth,bluetooth_on
brighten the lights,brighten_lights  
decrease brightness,brightness_down
turn down brightness,brightness_down
increase brightness,brightness_up
turn up brightness,brightness_up
change wallpaper,change_wallpaper  
check my messages,check_messages  
look at my messages,check_messages  
read my messages,check_messages  
review my messages,check_messages  
see my messages,check_messages  
check my schedule,check_schedule  
look at my schedule,check_schedule  
review my schedule,check_schedule  
see my schedule,check_schedule  
show my calendar,check_schedule  
start the vacuum,clean_floor  
clear notifications,clear_notifications  
close garage door,close_garage  
decrease contrast,decrease_contrast  
delete this file,delete_file  
dim the lights,dim_lights  
disable do not disturb,dnd_off  
enable do not disturb,dnd_on  
edit a document,edit_document  
turn off the fan,fan_off  
turn on the fan,fan_on  
today's date,get_date
what's the date,get_date
current time,get_time
tell me the time,get_time
what's the time,get_time
increase contrast,increase_contrast  
join a meeting,join_meeting  
turn off the lights,light_off  
turn on the lights,light_on  
lock the front door,lock_door  
lock my screen,lock_screen  
log out,log_out  
sign out,log_out  
make a call,make_call  
move this file to Desktop,move_file_desktop  
move this file to Documents,move_file_documents  
mute sound,mute
add a new document,new_document  
create a new document,new_document  
generate a new document,new_document  
make a new document,new_document  
play next song,next_song  
put on next song,next_song  
skip song,next_song  
start next song,next_song  
stream next song,next_song  
turn off night light,night_light_off  
turn on night light,night_light_on  
access calculator,open_calculator
fire up calculator,open_calculator
go to calculator,open_calculator
launch calculator,open_calculator
open calculator,open_calculator
start calculator,open_calculator
access Calendar,open_calendar
fire up Calendar,open_calendar
go to Calendar,open_calendar
launch Calendar,open_calendar
open Calendar,open_calendar
open Google Calendar,open_calendar
start Calendar,open_calendar
access camera,open_camera
fire up camera,open_camera
go to camera,open_camera
launch camera,open_camera
open camera,open_camera
start camera,open_camera
access Classroom,open_classroom
fire up Classroom,open_classroom
go to Classroom,open_classroom
launch Classroom,open_classroom
open Classroom,open_classroom
start Classroom,open_classroom
start Google Classroom,open_classroom
access command prompt,open_cmd
fire up command prompt,open_cmd
go to command prompt,open_cmd
launch command prompt,open_cmd
open command prompt,open_cmd
start command prompt,open_cmd
access control panel,open_control_panel
go to control panel,open_control_panel
launch control panel,open_control_panel
open control panel,open_control_panel
start control panel,open_control_panel
access Desktop,open_desktop  
fire up Desktop,open_desktop  
go to Desktop,open_desktop  
launch Desktop,open_desktop  
open Desktop,open_desktop  
start Desktop,open_desktop  
access Discord,open_discord  
fire up Discord,open_discord  
go to Discord,open_discord  
launch Discord,open_discord  
open Discord,open_discord  
start Discord,open_discord  
access Documents folder,open_documents  
fire up Documents folder,open_documents  
go to Documents folder,open_documents  
launch Documents folder,open_documents  
open Documents folder,open_documents  
start Documents folder,open_documents  
access Downloads folder,open_downloads  
fire up Downloads folder,open_downloads  
go to Downloads folder,open_downloads  
launch Downloads folder,open_downloads  
open Downloads folder,open_downloads  
start Downloads folder,open_downloads  
access Google Drive,open_drive
fire up Google Drive,open_drive
go to Google Drive,open_drive
launch Drive,open_drive
launch Google Drive,open_drive
open Google Drive,open_drive
start Google Drive,open_drive
access Microsoft Excel,open_excel  
fire up Microsoft Excel,open_excel  
go to Microsoft Excel,open_excel  
launch Excel,open_excel  
launch Microsoft Excel,open_excel  
open Microsoft Excel,open_excel  
start Microsoft Excel,open_excel  
access file explorer,open_explorer
fire up file explorer,open_explorer
go to file explorer,open_explorer
launch file explorer,open_explorer
open file explorer,open_explorer
start file explorer,open_explorer
access Facebook,open_facebook
fire up Facebook,open_facebook
go to Facebook,open_facebook
launch Facebook,open_facebook
open Facebook,open_facebook
start Facebook,open_facebook
access File Explorer,open_file_explorer  
fire up File Explorer,open_file_explorer  
go to File Explorer,open_file_explorer  
launch File Explorer,open_file_explorer  
open File Explorer,open_file_explorer  
start File Explorer,open_file_explorer  
access gallery,open_gallery  
fire up gallery,open_gallery  
go to gallery,open_gallery  
open gallery,open_gallery  
open my photos,open_gallery  
start gallery,open_gallery  
access garage door,open_garage  
fire up garage door,open_garage  
go to garage door,open_garage  
launch garage door,open_garage  
open garage door,open_garage  
start garage door,open_garage  
access GitHub,open_github
fire up GitHub,open_github
go to GitHub,open_github
launch GitHub,open_github
open GitHub,open_github
start GitHub,open_github
access Google,open_google
fire up Google,open_google
go to Google,open_google
launch Google,open_google
open Google,open_google
search on Google,open_google
start Google,open_google
access Instagram,open_instagram
fire up Instagram,open_instagram
go to Instagram,open_instagram
launch Instagram,open_instagram
open Instagram,open_instagram
start Instagram,open_instagram
access LinkedIn,open_linkedin
fire up LinkedIn,open_linkedin
go to LinkedIn,open_linkedin
launch LinkedIn,open_linkedin
open LinkedIn,open_linkedin
start LinkedIn,open_linkedin
access email,open_mail
fire up email,open_mail
go to email,open_mail
launch Gmail,open_mail
launch email,open_mail
open email,open_mail
open my email,open_mail
start email,open_mail
access Google Maps,open_maps
fire up Google Maps,open_maps
go to Google Maps,open_maps
launch Google Maps,open_maps
launch Maps,open_maps
open Google Maps,open_maps
start Google Maps,open_maps
access Google Meet,open_meet
fire up Google Meet,open_meet
go to Google Meet,open_meet
launch Google Meet,open_meet
launch Meet,open_meet
open Google Meet,open_meet
start Google Meet,open_meet
access Music folder,open_music  
